Source,Target,Type,Weight
6,109,Undirected,3050053.5
67,8,Undirected,3422123
8,68,Undirected,3422123
62,27,Undirected,1566872
8,233,Undirected,3468578
43,233,Undirected,3468578
27,233,Undirected,3468578
21,43,Undirected,3468578
4,137,Undirected,2636070.5
30,8,Undirected,2833895
8,33,Undirected,2833895
137,5,Undirected,2636070.5
30,27,Undirected,2833895
33,27,Undirected,2833895
138,121,Undirected,6967920
104,5,Undirected,1852422.5
96,4,Undirected,795547.5
96,10,Undirected,795547.5
96,28,Undirected,795547.5
104,2,Undirected,1852422.5
139,2,Undirected,1182567
2,140,Undirected,1182567
2,141,Undirected,1182567
2,241,Undirected,1182567
2,242,Undirected,1182567
139,1,Undirected,1182567
140,1,Undirected,1182567
141,1,Undirected,1182567
1,241,Undirected,1182567
1,242,Undirected,1182567
139,3,Undirected,1182567
140,3,Undirected,1182567
141,3,Undirected,1182567
3,241,Undirected,1182567
3,242,Undirected,1182567
2,101,Undirected,1501225.5
1,101,Undirected,1501225.5
